"age","married","female","black","hispanic","born_us","fertyr","educ_cat","yrs_educ","masters","proffnl","doctoral","empstat","incwage","uhrswork","wkswork1","hrly_wage","ownershp","rent","trantime","hispan","race","citizen","marst","ind1990","occ1990","degfield","statefip"
48,1,1,0,0,0,0,3,14,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,1,0,1,0,999,0,6
27,1,1,0,0,1,0,3,14,0,0,0,3,900,20,5,9,2,850,NA,0,1,1,1,772,458,0,30
55,0,0,0,0,1,NA,2,12,0,0,0,1,70000,40,52,33.6538461538462,2,1200,25,0,1,1,4,60,596,0,47
51,1,0,0,1,0,NA,3,14,0,0,0,1,0,55,52,NA,1,NA,15,1,8,0,1,840,95,0,35
40,1,0,0,1,1,NA,2,12,0,0,0,1,25000,40,52,12.0192307692308,1,NA,15,2,1,1,1,60,563,0,12
39,1,0,0,0,1,NA,3,14,0,0,0,1,1e+05,40,52,48.0769230769231,1,NA,60,0,6,1,1,60,575,0,15
54,0,0,0,0,1,NA,4,16,0,0,0,1,14700,20,52,14.1346153846154,1,NA,4,0,1,1,6,781,486,64,20
33,0,1,0,0,0,0,5,18,1,0,0,1,150000,40,52,72.1153846153846,2,400,25,0,1,0,6,841,178,48,6
46,1,0,0,0,1,NA,3,14,0,0,0,1,23400,77,52,5.84415584415584,1,NA,2,0,1,1,1,11,479,0,36
39,0,1,1,0,1,0,2,12,0,0,0,3,0,NA,NA,NA,2,1300,NA,0,2,1,6,0,999,0,42
37,1,1,0,0,1,0,5,18,1,0,0,1,3200,45,48,NA,1,NA,25,0,1,1,1,840,105,62,41
53,0,1,0,0,1,NA,4,16,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,1,1,4,682,243,23,29
41,1,1,0,0,0,0,5,18,1,0,0,1,42000,90,40,11.6666666666667,1,NA,60,0,1,0,1,842,156,23,28
42,0,1,0,0,1,0,5,22,0,0,1,1,55000,50,52,21.1538461538462,2,3100,10,0,1,1,4,850,154,60,6
40,1,0,0,0,1,NA,4,16,0,0,0,1,67000,60,52,21.474358974359,1,NA,17,0,1,1,1,352,33,23,40
26,0,1,0,0,1,0,3,13,0,0,0,1,14000,35,52,7.69230769230769,2,1200,60,0,3,1,6,650,376,0,6
39,0,1,1,0,1,0,2,12,0,0,0,1,15100,40,52,7.25961538461539,2,90,3,0,2,1,3,621,276,0,1
35,1,0,0,0,1,NA,5,18,1,0,0,1,120000,50,52,46.1538461538462,1,NA,15,0,1,1,1,732,22,21,29
29,0,1,0,1,1,0,4,16,0,0,0,1,10600,40,52,5.09615384615385,1,NA,20,3,8,1,6,862,313,40,12
50,1,1,0,0,1,0,5,18,1,0,0,1,98000,45,52,41.8803418803419,1,NA,45,0,1,1,1,700,22,62,12
34,0,1,0,0,1,0,2,12,0,0,0,1,8000,24,36,9.25925925925926,1,NA,30,0,1,1,4,641,435,0,26
49,1,0,0,0,1,NA,2,12,0,0,0,1,98000,40,52,47.1153846153846,1,NA,142,0,1,1,1,470,628,0,6
52,1,1,0,0,1,NA,3,14,0,0,0,1,50000,50,52,19.2307692307692,1,NA,20,0,1,1,1,582,376,0,19
42,1,0,0,0,0,NA,1,9,0,0,0,1,20000,45,52,8.54700854700855,2,600,60,0,4,0,1,641,436,0,36
45,1,1,0,0,1,0,3,14,0,0,0,1,58000,39,52,28.5996055226824,1,NA,6,0,1,1,1,840,95,0,36
34,1,1,0,0,0,1,4,16,0,0,0,1,0,15,30,NA,1,NA,NA,0,5,0,1,892,13,55,51
31,0,0,0,0,1,NA,3,14,0,0,0,1,21300,40,52,10.2403846153846,1,NA,15,0,1,1,6,751,505,0,37
36,1,0,0,0,1,NA,2,12,0,0,0,1,24300,40,52,11.6826923076923,2,350,30,0,1,1,1,550,453,0,21
33,0,1,0,0,1,0,4,16,0,0,0,1,60000,40,52,28.8461538461538,1,NA,15,0,1,1,6,623,185,60,29
36,1,0,0,0,0,NA,4,16,0,0,0,1,1e+05,40,52,48.0769230769231,2,1900,45,0,6,0,1,732,229,24,34
38,1,1,0,0,1,0,5,18,1,0,0,1,88000,40,52,42.3076923076923,1,NA,87,0,1,1,1,832,15,61,17
52,0,1,0,1,1,NA,4,16,0,0,0,1,20000,50,52,7.69230769230769,1,NA,NA,2,1,1,4,712,18,52,6
44,0,0,0,0,1,NA,4,16,0,0,0,1,45000,40,52,21.6346153846154,1,NA,35,0,1,1,4,842,156,23,13
31,1,0,0,0,1,NA,1,8,0,0,0,1,0,5,52,NA,1,NA,60,0,1,1,1,60,597,0,42
29,1,1,0,0,0,0,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,0,1,0,1,0,999,0,12
25,0,1,0,0,1,0,3,13,0,0,0,2,3000,25,17,7.05882352941176,1,NA,NA,0,1,1,6,810,426,0,12
29,1,1,0,0,1,0,5,18,1,0,0,1,65000,40,52,31.25,2,3300,NA,0,1,1,1,550,13,62,12
47,1,1,0,1,0,0,1,9,0,0,0,3,0,NA,NA,NA,2,1200,NA,3,1,0,1,0,999,0,12
31,1,1,1,0,0,0,5,18,1,0,0,1,60000,40,50,30,1,NA,NA,0,2,0,1,890,73,62,17
38,1,0,0,0,1,NA,3,13,0,0,0,1,1e+05,48,52,40.0641025641026,1,NA,35,0,1,1,1,891,303,0,53
44,0,1,0,1,0,0,2,12,0,0,0,1,30000,40,52,14.4230769230769,1,NA,30,1,1,0,4,641,436,0,21
32,0,0,0,0,0,NA,3,14,0,0,0,1,24000,40,52,11.5384615384615,1,NA,20,0,1,0,6,641,435,0,26
40,1,0,0,0,1,NA,3,14,0,0,0,2,110000,40,38,72.3684210526316,1,NA,NA,0,1,1,1,42,22,0,48
45,1,1,0,0,1,0,4,16,0,0,0,1,11000,25,40,11,1,NA,5,0,6,1,1,842,159,62,6
39,1,1,0,0,1,0,5,18,1,0,0,1,73000,40,52,35.0961538461538,1,NA,12,0,1,1,1,571,313,41,32
40,1,0,0,0,1,NA,4,16,0,0,0,1,70000,40,52,33.6538461538462,2,1400,45,0,1,1,1,60,585,59,51
53,1,1,0,0,1,NA,2,12,0,0,0,1,11000,25,52,8.46153846153846,1,NA,NA,0,1,1,1,871,447,0,27
46,1,1,0,0,1,0,3,13,0,0,0,1,20000,32,52,12.0192307692308,1,NA,5,0,1,1,1,441,376,0,8
49,1,1,0,0,1,0,4,16,0,0,0,1,67000,40,52,32.2115384615385,1,NA,38,0,1,1,1,831,95,62,45
49,1,1,0,0,1,0,4,16,0,0,0,1,39500,30,52,25.3205128205128,1,NA,30,0,1,1,1,60,22,62,13
34,1,0,0,1,1,NA,2,12,0,0,0,1,52000,50,52,20,2,820,30,1,1,1,1,870,436,0,6
38,0,0,0,0,1,NA,2,12,0,0,0,1,64000,50,52,24.6153846153846,1,NA,25,0,1,1,4,651,22,0,21
30,0,1,0,0,1,0,1,8,0,0,0,3,0,NA,NA,NA,2,520,NA,0,7,1,6,0,999,0,51
48,0,1,0,0,1,0,2,12,0,0,0,1,37100,40,52,17.8365384615385,1,NA,3,0,1,1,4,841,313,0,34
25,1,1,0,0,1,0,5,18,1,0,0,1,46000,30,48,31.9444444444444,1,NA,35,0,1,1,1,842,157,37,8
42,1,1,0,1,0,0,1,0,0,0,0,3,1200,80,2,7.5,2,900,NA,1,7,0,1,10,479,0,32
31,0,1,0,0,1,0,4,16,0,0,0,1,25000,40,52,12.0192307692308,1,NA,20,0,1,1,6,120,757,36,23
26,0,0,0,0,1,NA,2,12,0,0,0,1,80000,88,52,17.4825174825175,2,600,40,0,1,1,6,42,615,0,42
55,0,1,0,0,1,NA,1,10,0,0,0,3,0,NA,NA,NA,2,40,NA,0,1,1,4,0,999,0,1
31,1,0,0,1,1,NA,1,0,0,0,0,1,30000,50,52,11.5384615384615,1,NA,30,1,7,1,1,60,567,0,48
28,1,0,0,0,1,NA,5,17,0,1,0,1,15000,18,52,16.025641025641,1,NA,75,0,1,1,1,412,889,55,42
52,1,1,0,1,0,NA,2,12,0,0,0,3,0,NA,NA,NA,1,NA,NA,3,1,0,1,631,243,0,34
42,1,1,0,0,1,0,5,22,0,0,1,1,104000,40,52,50,1,NA,10,0,1,1,1,711,96,48,13
42,1,0,0,0,1,NA,4,16,0,0,0,1,40900,40,40,25.5625,2,NA,NA,0,1,1,1,760,783,62,6
49,1,1,0,1,0,0,2,12,0,0,0,1,35000,47,52,14.3207855973813,1,NA,5,1,1,0,1,612,243,0,48
48,0,1,0,1,1,0,3,14,0,0,0,3,0,NA,NA,NA,1,NA,NA,1,8,1,4,0,999,0,40
48,0,0,0,0,0,NA,5,18,1,0,0,1,3e+05,60,52,96.1538461538462,2,3900,20,0,1,0,4,342,55,36,6
29,0,1,0,0,1,0,2,12,0,0,0,1,30000,40,52,14.4230769230769,1,NA,5,0,1,1,4,580,243,0,26
39,1,1,0,0,1,0,3,14,0,0,0,1,92000,40,52,44.2307692307692,1,NA,15,0,1,1,1,831,95,0,35
42,1,1,0,1,1,0,5,18,1,0,0,1,4000,35,52,NA,1,NA,12,1,1,1,1,842,156,23,32
37,0,1,0,0,1,0,4,16,0,0,0,1,24700,40,21,29.4047619047619,2,1100,45,0,8,1,4,702,7,62,32
40,0,0,0,0,1,NA,2,12,0,0,0,1,45000,50,52,17.3076923076923,2,1100,40,0,1,1,6,432,804,0,39
