"state","parks","fine_partc_mttr"
"Alabama",18.4,44758
"Alaska",10.1,74444
"Arizona",17.7,51340
"Arkansas",18.8,42336
"California",15.8,63783
"Colorado",12.2,62520
"Connecticut",10.4,71755
"Delaware",12,61017
"District of Columbia",17.9,72935
"Florida",16.1,48900
"Georgia",17.8,51037
"Hawaii",10.8,71977
"Idaho",15.2,49174
"Illinois",14,59196
"Indiana",15,50433
"Iowa",12.3,54570
"Kansas",13.3,53571
"Kentucky",18.8,44811
"Louisiana",19.7,45652
"Maine",13.5,50826
"Maryland",9.9,76067
"Massachusetts",11.4,70954
"Michigan",16.3,50803
"Minnesota",10.8,63217
"Mississippi",22.3,40528
"Missouri",15.3,49593
"Montana",14.9,48380
"Nebraska",12.4,54384
"Nevada",14.9,53094
"New Hampshire",8.5,68485
"New Jersey",10.9,73702
"New Mexico",20.9,45674
"New York",15.5,60741
"North Carolina",16.8,48256
"North Dakota",11.2,59114
"Ohio",15.4,50674
"Oklahoma",16.5,48038
"Oregon",15.7,53270
"Pennsylvania",13.3,54895
"Rhode Island",13.8,58387
"South Carolina",17.2,46898
"South Dakota",14,52078
"Tennessee",17.2,46574
"Texas",16.7,54727
"Utah",11.7,62518
"Vermont",11.6,56104
"Virginia",11.4,66149
"Washington",12.7,62848
"West Virginia",17.7,42644
"Wisconsin",12.7,54610
"Wyoming",11.6,59143
